iter	Passed	Remaining
450	1066	1298
451	1068	1295
452	1069	1291
453	1071	1288
454	1072	1285
455	1075	1282
456	1077	1279
457	1081	1279
458	1083	1276
459	1084	1273
460	1086	1269
461	1087	1266
462	1089	1263
463	1091	1260
464	1094	1259
465	1096	1256
466	1097	1252
467	1099	1249
468	1100	1246
469	1102	1242
470	1103	1239
471	1104	1236
472	1106	1232
473	1110	1232
474	1111	1228
475	1113	1225
476	1114	1222
477	1116	1219
478	1118	1216
479	1119	1212
480	1120	1209
481	1124	1208
482	1126	1205
483	1127	1202
484	1129	1199
485	1132	1197
486	1135	1195
487	1137	1192
488	1140	1191
489	1141	1188
490	1143	1185
491	1144	1181
492	1146	1178
493	1147	1175
494	1149	1172
495	1150	1168
496	1151	1165
497	1154	1163
498	1156	1160
499	1157	1157
500	1159	1154
501	1160	1151
502	1162	1148
503	1163	1145
504	1164	1141
505	1166	1138
506	1169	1137
507	1171	1134
508	1172	1131
509	1174	1128
510	1175	1125
511	1176	1121
512	1178	1118
513	1179	1115
514	1181	1112
515	1184	1111
516	1186	1108
517	1187	1105
518	1189	1102
519	1190	1099
520	1192	1095
521	1193	1092
522	1195	1089
523	1196	1086
524	1200	1085
525	1202	1083
526	1203	1080
527	1205	1077
528	1206	1074
529	1208	1071
530	1209	1068
531	1211	1065
532	1215	1064
533	1217	1062
534	1219	1059
535	1220	1056
536	1224	1055
537	1228	1055
538	1230	1052
539	1231	1049
540	1232	1046
541	1235	1044
542	1237	1041
543	1239	1039
544	1243	1037
545	1244	1035
546	1246	1032
547	1248	1029
548	1250	1026
549	1252	1024
550	1257	1024
551	1260	1022
552	1262	1020
553	1264	1017
554	1266	1015
555	1267	1012
556	1271	1011
557	1273	1009
558	1275	1006
559	1277	1003
560	1278	1000
561	1281	998
562	1282	995
563	1287	995
564	1289	992
565	1290	989
566	1292	986
567	1293	983
568	1296	981
569	1297	978
570	1301	977
571	1303	975
572	1305	972
573	1306	969
574	1309	967
575	1311	965
576	1314	963
577	1317	962
578	1319	959
579	1321	957
580	1323	954
581	1325	952
582	1327	949
583	1330	947
584	1332	945
585	1333	942
586	1335	939
587	1336	936
588	1338	933
589	1339	930
590	1340	928
591	1342	925
592	1347	924
593	1348	921
594	1350	919
595	1352	916
596	1353	913
597	1355	911
598	1356	908
599	1360	906
600	1362	904
601	1363	901
602	1365	898
603	1366	896
604	1368	893
605	1369	890
606	1370	887
607	1372	884
608	1375	883
609	1377	880
610	1378	877
611	1380	874
612	1381	872
613	1382	869
614	1384	866
615	1385	863
616	1387	861
617	1390	859
618	1392	856
619	1393	854
620	1395	851
621	1396	848
622	1397	845
623	1399	843
624	1400	840
625	1402	837
626	1406	836
627	1407	833
628	1409	831
629	1410	828
630	1411	825
631	1413	822
632	1414	820
633	1416	817
634	1418	815
635	1421	813
636	1423	811
637	1425	808
638	1427	806
639	1429	803
640	1430	801
641	1432	798
642	1434	796
643	1436	794
644	1437	791
645	1439	788
646	1440	786
647	1442	783
648	1443	780
649	1445	778
650	1446	775
651	1449	773
652	1451	771
653	1452	768
654	1454	765
655	1455	763
656	1457	760
657	1458	758
658	1460	755
659	1461	752
660	1465	751
661	1466	748
662	1467	746
663	1469	743
664	1470	740
665	1471	738
666	1473	735
667	1474	733
668	1476	730
669	1479	728
670	1480	726
671	1482	723
672	1483	720
673	1485	718
674	1486	715
675	1488	713
676	1490	710
677	1494	709
678	1496	707
679	1497	704
680	1498	702
681	1499	699
682	1501	697
683	1503	694
684	1505	692
685	1508	690
686	1510	688
687	1512	685
688	1513	683
689	1515	680
690	1516	678
691	1518	675
692	1519	673
693	1521	670
694	1524	669
695	1526	666
696	1527	664
697	1529	661
698	1530	659
699	1531	656
700	1533	654
701	1535	651
702	1538	650
703	1541	647
704	1542	645
705	1544	643
706	1546	641
707	1548	638
708	1549	636
709	1551	633
710	1554	631
711	1556	629
712	1557	627
713	1559	624
714	1561	622
715	1563	620
716	1565	617
717	1569	616
718	1571	614
719	1573	611
720	1574	609
721	1576	607
722	1578	604
723	1580	602
724	1583	600
725	1585	598
726	1586	595
727	1588	593
728	1590	591
729	1592	588
730	1594	586
731	1597	584
732	1599	582
733	1601	580
734	1603	577
735	1604	575
736	1606	573
737	1609	571
738	1614	570
739	1616	567
740	1618	565
741	1620	563
742	1621	560
743	1622	558
744	1624	556
745	1627	554
746	1629	551
747	1630	549
748	1631	546
749	1633	544
750	1634	541
751	1636	539
752	1637	537
753	1640	535
754	1642	533
755	1643	530
756	1645	528
757	1646	525
758	1648	523
759	1649	520
760	1651	518
761	1654	516
762	1656	514
763	1658	512
764	1659	509
765	1661	507
766	1662	505
767	1664	502
768	1665	500
769	1666	497
770	1670	496
771	1672	493
772	1673	491
773	1674	489
774	1676	486
775	1677	484
776	1679	481
777	1680	479
778	1681	477
779	1684	475
780	1687	473
781	1688	470
782	1689	468
783	1691	465
784	1692	463
785	1694	461
786	1696	459
787	1699	457
788	1701	454
789	1702	452
790	1704	450
791	1705	447
792	1706	445
793	1708	443
794	1709	440
795	1711	438
796	1714	436
797	1716	434
798	1717	432
799	1719	429
800	1720	427
801	1722	425
802	1723	422
803	1724	420
804	1726	418
805	1729	416
806	1731	414
807	1732	411
808	1734	409
809	1735	407
810	1737	404
811	1738	402
812	1740	400
813	1741	397
814	1745	396
815	1746	393
816	1748	391
817	1749	389
818	1751	386
819	1752	384
820	1754	382
821	1755	380
822	1758	378
823	1761	376
824	1762	373
825	1764	371
826	1765	369
827	1767	367
828	1768	364
829	1770	362
830	1773	360
831	1776	358
832	1777	356
833	1779	354
834	1781	352
835	1782	349
836	1784	347
837	1785	345
838	1791	343
839	1792	341
840	1794	339
841	1796	337
842	1798	334
843	1799	332
844	1801	330
845	1805	328
846	1806	326
847	1808	324
848	1809	321
849	1811	319
850	1812	317
851	1813	315
852	1815	312
853	1820	311
854	1821	308
855	1823	306
856	1824	304
857	1825	302
858	1827	299
859	1828	297
860	1830	295
861	1832	293
862	1835	291
863	1837	289
864	1840	287
865	1841	284
866	1843	282
867	1845	280
868	1849	278
869	1852	276
870	1854	274
871	1855	272
872	1857	270
873	1859	268
874	1862	266
875	1868	264
876	1871	262
877	1873	260
878	1875	258
879	1881	256
880	1887	254
881	1888	252
882	1890	250
883	1891	248
884	1895	246
885	1899	244
886	1900	242
887	1902	239
888	1904	237
889	1905	235
890	1907	233
891	1911	231
892	1914	229
893	1915	227
894	1917	224
895	1919	222
896	1920	220
897	1924	218
898	1926	216
899	1928	214
900	1929	212
901	1931	209
902	1932	207
903	1934	205
904	1935	203
905	1939	201
906	1941	199
907	1942	196
908	1944	194
909	1945	192
910	1947	190
911	1948	188
912	1950	185
913	1951	183
914	1955	181
915	1956	179
916	1958	177
917	1959	175
918	1961	172
919	1962	170
920	1963	168
921	1965	166
922	1967	164
923	1970	162
924	1971	159
925	1973	157
926	1975	155
927	1978	153
928	1979	151
929	1981	149
930	1983	147
931	1985	144
932	1987	142
933	1988	140
934	1990	138
935	1991	136
936	1992	133
937	1994	131
938	1995	129
939	1999	127
940	2000	125
941	2002	123
942	2003	121
943	2005	118
944	2006	116
945	2008	114
946	2009	112
947	2011	110
948	2013	108
949	2015	106
950	2016	103
951	2018	101
952	2019	99
953	2021	97
954	2022	95
955	2023	93
956	2025	90
957	2028	88
958	2029	86
959	2031	84
960	2032	82
961	2034	80
